message_key,,message_Value
Reference,,Reference
Discount,,Discount
Start Date,,Start Date
End Date,,End Date
Registration Open,,Registration Open
Registration Close,,Registration Close
Venu,,Venu
Email,,Email
Total Discount,,Total Discount
Amount Collected,,Amount Collected
Amount,,Amount
Total Entery,,Total Entery
Capacity,,Capacity
Fees,,Fees
Event Registrations,,Event Registrations
Registration Date,,Registration Date
Address,,Address
Name,,Name
Description,,Description
Before days,,Before days
Discount percent,,Discount percent
Discount Amount,,Discount Amount
Event ,,Event 
sorry no avibility,,sorry no avibility
